university_id,university_name,university_country
unvst-019b0caa-6751-7bf7-a203-db254d897def,Carthage College,United States
unvst-019b0caa-6751-7bf7-a203-db266c02c751,Case Western Reserve University,United States
unvst-019b0caa-6751-7bf7-a203-db27795b4ebb,Castleton State University,United States
unvst-019b0caa-6751-7bf7-a203-db289fde1518,Catholic University of America,United States
unvst-019b0caa-6751-7bf7-a203-db29be615ce5,Cedarville College,United States
unvst-019b0caa-6751-7bf7-a203-db2a439dd069,Centenary College of Louisiana,United States
unvst-019b0caa-6751-7bf7-a203-db2bc1fa9880,Central College,United States
unvst-019b0caa-6751-7bf7-a203-db2c4ddf8be5,Central Connecticut State University,United States
unvst-019b0caa-6751-7bf7-a203-db2d1f18bde7,Central Methodist College,United States
unvst-019b0caa-6751-7bf7-a203-db2e3b12c6bb,Central Michigan University,United States
unvst-019b0caa-6751-7bf7-a203-db2fc7a4480b,Central Washington University,United States
unvst-019b0caa-6751-7bf7-a203-db300ad7eeb0,Centre College,United States
unvst-019b0caa-6751-7bf7-a203-db31b1544869,Chadron State College,United States
unvst-019b0caa-6751-7bf7-a203-db32a4e4be85,Champlain College,United States
unvst-019b0caa-6751-7bf7-a203-db336556e644,Chapman University,United States
unvst-019b0caa-6751-7bf7-a203-db34fc7cf844,Chatham College,United States
unvst-019b0caa-6751-7bf7-a203-db35f3fe906c,Chesapeake College,United States
unvst-019b0caa-6751-7bf7-a203-db361d0c9d21,Cheyney University,United States
unvst-019b0caa-6751-7bf7-a203-db375d2b5354,Chicago School of Professional Psychology,United States
unvst-019b0caa-6751-7bf7-a203-db38abf7a5f4,Christian Brothers University,United States
unvst-019b0caa-6751-7bf7-a203-db3988dea0eb,Christian Theological Seminary,United States
unvst-019b0caa-6751-7bf7-a203-db3a6d4b0ab7,Christopher Newport University,United States
unvst-019b0caa-6751-7bf7-a203-db3bf9b4e07a,City University,United States
unvst-019b0caa-6751-7bf7-a203-db3cb396de4c,City University of New York,United States
unvst-019b0caa-6751-7bf7-a203-db3dc490a69a,Claremont Graduate School,United States
unvst-019b0caa-6751-7bf7-a203-db3e3b5b4675,Claremont McKenna College,United States
unvst-019b0caa-6751-7bf7-a203-db3f3c17d73f,Clarion University of Pennsylvania,United States
unvst-019b0caa-6751-7bf7-a203-db4022ccbf63,Clarke College,United States
unvst-019b0caa-6751-7bf7-a203-db410cd743df,Clarkson University,United States
unvst-019b0caa-6751-7bf7-a203-db42b69ca15a,Clark University,United States
unvst-019b0caa-6751-7bf7-a203-db435a13739d,Clayton State College,United States
unvst-019b0caa-6751-7bf7-a203-db4456712fcc,Clemson University,United States
unvst-019b0caa-6751-7bf7-a203-db45aaf8b4e7,Cleveland State University,United States
